ticket_id,category,channel,team,priority,status,response_hours,resolution_hours,sla_met
CS1001,Payment,Email,Service Desk,High,Resolved,1.2,8.5,Yes
CS1002,Account,Chat,Service Desk,Medium,Resolved,0.6,4.1,Yes
CS1003,Technical,Web,Applications,High,Resolved,2.4,12.8,No
CS1004,Access,Email,Access,Medium,Resolved,1.0,5.3,Yes
CS1005,Payment,Chat,Service Desk,Critical,Resolved,0.3,3.9,Yes
CS1006,Technical,Web,Applications,Medium,Pending,3.1,0,Yes
CS1007,Account,Email,Service Desk,Low,Resolved,2.0,6.2,Yes
CS1008,Payment,Web,Service Desk,High,Resolved,1.7,10.4,Yes
CS1009,Access,Chat,Access,High,Resolved,0.8,7.2,Yes
CS1010,Technical,Email,Applications,Critical,Resolved,2.9,18.5,No
CS1011,Payment,Chat,Service Desk,Medium,Open,1.4,0,Yes
CS1012,Account,Web,Service Desk,Low,Resolved,2.6,7.8,Yes
CS1013,Technical,Email,Applications,High,Resolved,1.9,11.3,No
CS1014,Access,Chat,Access,Medium,Resolved,0.7,4.8,Yes
CS1015,Payment,Email,Service Desk,High,Resolved,1.1,9.1,Yes
CS1016,Account,Chat,Service Desk,Medium,Resolved,0.9,5.6,Yes
CS1017,Technical,Web,Applications,High,Pending,2.2,0,Yes
CS1018,Payment,Email,Service Desk,Critical,Resolved,0.4,5.2,Yes
CS1019,Access,Web,Access,Low,Resolved,1.8,6.7,Yes
CS1020,Technical,Email,Applications,Medium,Resolved,2.5,9.8,Yes
CS1021,Payment,Chat,Service Desk,High,Resolved,1.3,8.7,Yes
CS1022,Account,Email,Service Desk,Low,Resolved,1.6,5.9,Yes
CS1023,Technical,Web,Applications,Critical,Resolved,3.4,20.1,No
CS1024,Access,Chat,Access,Medium,Open,1.0,0,Yes
CS1025,Payment,Email,Service Desk,Medium,Resolved,1.0,6.4,Yes
CS1026,Account,Web,Service Desk,High,Resolved,1.2,8.2,Yes
CS1027,Technical,Email,Applications,High,Resolved,2.1,13.4,No
CS1028,Access,Chat,Access,Low,Resolved,1.5,5.1,Yes
CS1029,Payment,Web,Service Desk,Critical,Resolved,0.5,4.6,Yes
CS1030,Account,Email,Service Desk,Medium,Pending,2.0,0,Yes
