Case_ID,Date,Team,Category,Priority,Channel,Status,Resolution_Hours,SLA_Met,Exception_Flag,Root_Cause
OPS-1001,2026-01-03,Support A,Access,P2,Email,Resolved,5.2,Yes,No,User configuration
OPS-1002,2026-01-04,Support B,Transaction,P1,Portal,Resolved,8.4,Yes,Yes,System error
OPS-1003,2026-01-05,Support A,Account,P3,Email,Resolved,3.1,Yes,No,User configuration
OPS-1004,2026-01-06,Support C,Transaction,P2,Portal,Resolved,11.6,No,Yes,Integration issue
OPS-1005,2026-01-07,Support B,Access,P2,Chat,Resolved,6.0,Yes,No,User configuration
OPS-1006,2026-01-09,Support C,Reporting,P3,Email,Resolved,4.3,Yes,No,Data quality
OPS-1007,2026-01-11,Support A,Transaction,P1,Portal,Resolved,9.8,Yes,Yes,System error
OPS-1008,2026-01-12,Support B,Account,P2,Chat,Resolved,7.2,Yes,No,User configuration
OPS-1009,2026-01-14,Support C,Transaction,P2,Portal,Resolved,13.1,No,Yes,Integration issue
OPS-1010,2026-01-15,Support A,Access,P3,Email,Resolved,2.8,Yes,No,User configuration
OPS-1011,2026-01-17,Support B,Reporting,P3,Email,Resolved,5.1,Yes,No,Data quality
OPS-1012,2026-01-18,Support C,Transaction,P1,Portal,Resolved,10.7,No,Yes,System error
OPS-1013,2026-01-20,Support A,Account,P2,Chat,Resolved,6.4,Yes,No,User configuration
OPS-1014,2026-01-22,Support B,Transaction,P2,Portal,Resolved,12.4,No,Yes,Integration issue
OPS-1015,2026-01-23,Support C,Access,P3,Email,Resolved,4.0,Yes,No,User configuration
OPS-1016,2026-01-25,Support A,Reporting,P3,Email,Resolved,5.7,Yes,No,Data quality
OPS-1017,2026-01-27,Support B,Transaction,P1,Portal,Resolved,9.1,Yes,Yes,System error
OPS-1018,2026-01-28,Support C,Account,P2,Chat,Resolved,7.9,Yes,No,User configuration
OPS-1019,2026-01-29,Support A,Transaction,P2,Portal,Resolved,14.2,No,Yes,Integration issue
OPS-1020,2026-01-31,Support B,Access,P3,Email,Resolved,3.6,Yes,No,User configuration
